Task,Execution Time,Memory Usage,Book,nbCharacter
EgrepLike,6451,1965,10350.txt,1091222
KMP,3203,1936,10350.txt,1091222
Egrep,650,163,10350.txt,1091222
EgrepLike,6640,2048,10351.txt,1154592
KMP,3304,1956,10351.txt,1154592
Egrep,592,165,10351.txt,1154592
EgrepLike,6789,2048,10352.txt,1161874
KMP,3185,1958,10352.txt,1161874
Egrep,643,165,10352.txt,1161874
EgrepLike,2057,768,10355.txt,332408
KMP,845,576,10355.txt,332408
Egrep,547,146,10355.txt,332408
EgrepLike,1895,704,10356.txt,336234
KMP,942,686,10356.txt,336234
Egrep,554,139,10356.txt,336234
EgrepLike,7065,2291,10357.txt,1214209
KMP,3580,2186,10357.txt,1214209
Egrep,631,139,10357.txt,1214209
EgrepLike,3140,1029,10358.txt,521703
KMP,1485,1066,10358.txt,521703
Egrep,609,154,10358.txt,521703
EgrepLike,1718,731,10359.txt,305925
KMP,884,697,10359.txt,305925
Egrep,658,142,10359.txt,305925
EgrepLike,2555,1035,10360.txt,451602
KMP,1296,921,10360.txt,451602
Egrep,569,156,10360.txt,451602
EgrepLike,1336,587,10361.txt,238942
KMP,596,415,10361.txt,238942
Egrep,559,141,10361.txt,238942
EgrepLike,1531,712,10362.txt,271317
KMP,728,565,10362.txt,271317
Egrep,584,144,10362.txt,271317
EgrepLike,4813,1674,10363.txt,832345
KMP,2397,1573,10363.txt,832345
Egrep,722,159,10363.txt,832345
EgrepLike,3296,1178,10364.txt,580923
KMP,1653,1168,10364.txt,580923
Egrep,662,154,10364.txt,580923
EgrepLike,2811,940,10366.txt,479948
KMP,1417,955,10366.txt,479948
Egrep,657,161,10366.txt,479948
EgrepLike,1278,603,10368.txt,229504
KMP,637,422,10368.txt,229504
Egrep,577,143,10368.txt,229504
EgrepLike,5012,1742,10369.txt,874344
KMP,2426,1605,10369.txt,874344
Egrep,588,135,10369.txt,874344
EgrepLike,3362,1263,10370.txt,586936
KMP,1690,1274,10370.txt,586936
Egrep,557,150,10370.txt,586936
EgrepLike,2769,923,10371.txt,445926
KMP,1222,944,10371.txt,445926
Egrep,647,158,10371.txt,445926
EgrepLike,2998,1098,10372.txt,513314
KMP,1587,1025,10372.txt,513314
Egrep,565,147,10372.txt,513314
EgrepLike,2549,915,10374.txt,441418
KMP,1269,939,10374.txt,441418
Egrep,583,158,10374.txt,441418
EgrepLike,2895,1121,10375.txt,508703
KMP,1610,1037,10375.txt,508703
Egrep,754,150,10375.txt,508703
EgrepLike,1125,561,10376.txt,203408
KMP,548,389,10376.txt,203408
Egrep,569,132,10376.txt,203408
EgrepLike,1746,636,10377.txt,294118
KMP,764,549,10377.txt,294118
Egrep,620,139,10377.txt,294118
EgrepLike,2632,879,10378.txt,466084
KMP,1319,915,10378.txt,466084
Egrep,578,155,10378.txt,466084
EgrepLike,4763,1792,10379.txt,846932
KMP,2377,1504,10379.txt,846932
Egrep,559,139,10379.txt,846932
EgrepLike,5380,1724,10380.txt,913250
KMP,2576,1538,10380.txt,913250
Egrep,600,142,10380.txt,913250
EgrepLike,5313,1860,10381.txt,904291
KMP,2631,1652,10381.txt,904291
Egrep,654,152,10381.txt,904291
EgrepLike,815,450,10382.txt,137976
KMP,344,300,10382.txt,137976
Egrep,568,152,10382.txt,137976
EgrepLike,2084,906,10383.txt,362881
KMP,963,747,10383.txt,362881
Egrep,600,152,10383.txt,362881
EgrepLike,1151,558,10386.txt,203720
